title,categories
John Wick,Action
John Wick chapter 2,Action
John Wick chapter 3 Parabellum,Action
John Wick chapter 4,Action
Juno,Komedie,Romantik
Kiki den lille heks,Anime
King kong,Action
Kingsman The Secret Service,Action
Kung fu panda,Børn
Kung fu panda 2,Børn
Kung fu panda 3,Børn
Kung fu panda 4,Børn
Laputa slottet i himlen,Anime
Life as a house,Komedie,Romantik
Life as we know it,Komedie,Romantik
Long shot,Komedie,Romantik
Madagascar,Børn
Madagascar 2,Børn
Madagascar 3 Efterlyst i hele Europa,Børn
Majorens oppasser,Dansk
Marnie min hemmelige ven,Anime
Martha,Dansk
Matrix reloaded,Science fiction
Matrix revolution,Science fiction
Men In Black,Science fiction
Men In Black 2,Science fiction
Men In Black 3,Science fiction
Men In Black International,Science fiction
Midsommer,Dansk
Midt om natten,Dansk
Min nabo Totoro,Anime
Min søsters børn,Dansk
Min søsters børn når de er værst,Dansk
Min søsters børn på bryllupsrejse,Dansk
Min søsters børn vælter byen,Dansk
Minder fra i går,Anime
Miss potter,Drama
Modig,Børn,Pixar
Monsters inc,Børn,Pixar
Monsters University,Børn,Pixar
Mordecai,Johnny depp
Mumien,Action
My big fat greek wedding,Komedie,Romantik
My big fat greek wedding 2,Komedie,Romantik
My neighbors the yamadas,Anime
My Week with Marilyn,Drama,Romantik
Naruto guardians of the moon kingdom,Anime
Naruto legend of the stone gelel,Anime
Naruto Ninja clash in the land of snow,Anime
Naruto Road to ninja,Anime
Naruto shippuden bonds,Anime
Naruto shippuden the movie,Anime
Naruto shippuden the will of fire,Anime
Nausicaä of the Valley of the Wind,Anime
Nerve,Drama
Nick and Norahs Infinite Playlist,Komedie,Romantik
Nick of time,Johnny depp
Nightmare before Christmas,Børn
Ninja assassin,Action
Ninja scroll,Anime
No strings attached,Komedie,Romantik
Norbit,Komedie,Romantik
Når du mindst venter det,Komedie,Romantik
Når vinden rejser sig,Anime
Olsen banden,Dansk
Olsen banden deruda,Dansk
Olsen banden går amok,Dansk
Olsen banden går i krig,Dansk
Olsen banden i Jylland,Dansk
Olsen banden junior,Dansk
Olsen banden over alle bjerge,Dansk
Olsen banden overgiver sig aldrig,Dansk
Olsen Banden på de bonede gulve
Olsen banden på spanden,Dansk
Olsen banden på sporet,Dansk
Olsen banden ser rødt,Dansk
Olsen bandens flugt over plankeværket,Dansk
Olsen bandens sidste bedrifter,Dansk
Olsen bandens sidste stik,Dansk
Olsen bandens store kup,Dansk
Once upon a time in Mexico,Johnny depp
One true thing,Komedie
Op,Børn,Pixar
Oppe på valmuebakken,Anime
Parterapi I paradis,Komedie,Romantik
Passer passer piger,Dansk
Peddersen og findus 3 nissemaskinen,Børn,Svenske Børnefilm
Peddersen og findus det kattens år,Børn,Svenske Børnefilm
Peddersen og findus glemligheder,Børn,Svenske Børnefilm
Perfect blue,Anime
Peter pan,Børn
Peters baby,Dansk
Pigen og greven,Dansk
Pigen og millionæren,Dansk
Pigen og pressefotografen,Dansk
Piger i trøjen,Dansk
Piger i trøjen 2,Dansk
Pippi 1,Børn,Svenske Børnefilm
Pippi 2,Børn,Svenske Børnefilm
Pippi 3,Børn,Svenske Børnefilm
Pippi 4,Børn,Svenske Børnefilm
Pippi 5,Børn,Svenske Børnefilm
Pippi 6,Børn,Svenske Børnefilm
Piraterne!
Pirates of the Caribbean Den Sorte Forbandelse,Action
Pirates of the Caribbean Død Mands Kiste,Action
Pirates of the Caribbean i ukendt farvand,Drama
Pirates of the Caribbean Salazar's Revenge
Pirates of the Caribbean Ved Verdens Ende,Action
Ponyo på klippen ved havet,Anime
Porco rosso,Anime
Prinsen af Egypten,Børn
Prinsesse eller ej,Komedie,Romantik
Prinsesse eller ej 2
Prinsesse mononoke,Anime
Public enemies,Johnny depp
Pulp fiction,Action
Radiserne Christmas,Børn
Radiserne du er den bedste Søren brun,Børn
Radiserne forelskelse,Børn
Radiserne i skole igen,Børn
Radiserne valentine,Børn
Radiserne you're a good sport charlie brown,Børn
Rango,Johnny depp
Ratatouille,Børn,Pixar
Real steel,Science fiction,Action
Reality bites,Komedie,Romantik
Richard says goodbye,Johnny depp
Robotter,Børn
Rush hour,Komedie
Rush hour 2,Komedie
Rush hour 3,Komedie
Samme dag næste år,Komedie,Romantik
Scooby-doo,Børn
Scooby-doo 2 Uhyrerne er løs,Børn
Secret window,Johnny depp
Sex tape,Komedie,Romantik
Shrek,Børn
Shrek 2,Børn
Shrek den tredje,Børn
Shrek sidste kapitel,Børn
Shreklig jul,Børn
Silver Linings Playbook
Sinbad - Legenden fra de syv have,Børn
Skammerens datter,Action,Drama
Skatteplaneten,Børn,Disney
Slap af frede,Dansk
Sleepy hollow,Johnny depp
Slå først frede,Dansk
Snoopy and charlie brown the movie,Børn
Sonic the Hedgehog 2
Sonja fra saxogade,Dansk
Spiderman,Marvel
Spiderman 2,Marvel
Spiderman 3,Marvel
Spiderman across the spider-verse,Marvel
Spiderman Far from home,Marvel
Spiderman homecoming,Marvel
Spiderman into the spiderverse,Marvel
Spiderman No way home,Marvel
Spirit Hingsten fra Cimarron,Børn
St. Trinians lærernes skræk,Komedie,Romantik
Star Wars Episode 1 The Phantom Menace,Science fiction
Star Wars Episode 2 Attack of the Clones,Science fiction
Star Wars Episode 3 Revenge of the Sith,Science fiction
Star Wars Episode 4 A new hope,Science fiction
Star Wars Episode 5 The Empire Strikes Back,Science fiction
Star Wars Episode 6 Return of the Jedi,Science fiction
Starter for 10,Komedie,Romantik
Stor Ståhaj
Støv for alle pengene,Dansk
Støv på hjernen,Dansk
Summer wars,Anime
Svaneprinsessen,Børn
Sweeny todd the demon barber of Fleet Street,Johnny depp
Sådan træner du din drage,Børn
Sådan træner du din drage 2,Børn
Sådan træner du din drage 3,Børn
Sømand i knibe,Dansk
Sømænd og svigermødre,Dansk
Taken,Action
Taran og den magiske gryde,Børn,Disney
Ternet ninja,Børn,Danske Børnefilm
Ternet ninja 2,Børn,Danske Børnefilm
The Amazing Spiderman,Marvel
The Amazing Spiderman 2,Marvel
The banger sisters,Drama
The Big wedding,Komedie,Romantik
The book of eli,Science fiction,Action
The bourne identity,Action
The boy and the beast,Anime
The break up,Komedie,Romantik
The devil wears prada,Komedie
The Edge of Seventeen,Drama,Komedie
The girl who leapt through time,Anime
The greatest,Drama
The holiday,Komedie,Romantik
The Hunger Games,Science fiction
The Hunger Games Catching Fire,Science fiction
The Hunger Games Mockingjay - del 1,Science fiction
The Hunger Games Mockingjay - del 2,Science fiction
The last naruto the movie,Anime
The libertine,Johnny depp
The lone ranger,Johnny depp
The Martian,Science fiction
The mask,Komedie,Romantik
The Matrix,Science fiction
The maze runner,Action
The mortal instruments dæmonernes by,Action,Romantik
The Mummy Returns,Action
The ninth gate,Johnny depp
The Proposal
The reader,Romantik
The runaways,Komedie
The social network,Drama
The tourist,Johnny depp
The Twilight Saga Breaking Dawn del 1,Romantik,Fantasy
The Twilight Saga Breaking Dawn del 2,Romantik,Fantasy
The Twilight Saga Eclipse,Romantik,Fantasy
The Twilight Saga New Moon,Romantik,Fantasy
The x files i want to believe,Drama
Thor,Marvel
Tintin det hemmelige våben,Børn
Tintin Enhjørningens hemmelighed (3D),Børn,Franske Børnefilm
Tintin og hajsøen,Børn,Franske Børnefilm
Tintin soltemplet,Børn
Titan A. E,Børn
Top secret,Komedie,Romantik
Toy story,Børn,Pixar
Toy story 2,Børn,Pixar
Toy story 3,Børn,Pixar
Transcendence,Johnny depp
Transformers,Science fiction
Transformers dark of the moon,Science fiction
Transformers revenge of the fallen,Science fiction
Trillingerne fra Belleville,Børn,Franske Børnefilm
Twilight,Romantik,Fantasy
Valhalla,Børn,Danske Børnefilm
Vejen til El Dorado,Børn
Venom,Marvel
Venom let there be carnage,Marvel
Vilde Rolf,Børn,Disney
Vilde Rolf smadrer internettet,Børn,Disney
Wall-E,Børn,Pixar
War of the worlds,Action,Science fiction
Watchmen,Action,Science fiction
Wolf children,Anime
X-men,Action,Marvel
X-men 2,Action,Marvel
X-men days of future past,Action,Marvel
X-men First Class,Marvel
X-men origins wolverine,Action,Marvel
X-men the last stand,Marvel
X-men the legend of wolverine,Børn
Zombieland,Komedie
